id,category,modality,text,expected_label,difficulty,rationale,language,pii_scrubbed
hc-001,ai_voice_clone_family_emergency,audio_transcript,"Caller says they are the user's adult child, claims their voice sounds strange because they are crying after a crash, and asks for emergency bail money through a payment app before anyone else finds out.",scam,hard,"Family impersonation plus urgency and secrecy; no malicious link is present.",en,true
hc-002,ai_voice_clone_family_emergency,audio_transcript,"Caller sounds like a younger relative and says their phone is broken, they are using a friend's device, and they need a same-day transfer for a tow truck after an accident.",scam,hard,"Uses a plausible emergency and changed-device excuse to bypass normal verification.",en,true
hc-003,ai_voice_clone_family_emergency,audio_transcript,"Voicemail transcript says: Mom, please do not call me back, the lawyer said calls could make things worse. I need you to send the retainer now so they release me tonight.",scam,hard,"Combines voice-clone framing, legal pressure, and anti-callback instruction.",en,true
hc-004,ai_voice_clone_family_emergency,audio_transcript,"Caller claims to be a grandchild in a hospital waiting room, says their mouth is swollen so they sound different, and asks for a prepaid card photo to pay an urgent clinic fee.",scam,medium,"Medical distress explains voice mismatch and gift-card payment is a scam signal.",en,true
hc-005,ai_voice_clone_family_emergency,audio_transcript,"Caller says they are the user's sibling, whispers that they are being held after a minor incident, and asks the user to keep the call open while sending money to a courier.",scam,hard,"Sustained call pressure prevents independent verification.",en,true
hc-006,ai_voice_clone_family_emergency,audio_transcript,"Transcript describes a caller who sounds like the user's partner saying their wallet and phone were stolen while traveling and requesting an instant transfer to a new account for a hotel deposit.",scam,medium,"Travel emergency plus new payment destination should trigger suspicion.",en,true
hc-007,ai_voice_clone_family_emergency,audio_transcript,"Caller says they are the user's daughter, repeats a family nickname, and claims a police officer will explain payment instructions for a release fee.",scam,hard,"Personal detail increases believability while third-party payment pressure is suspicious.",en,true
hc-008,ai_voice_clone_family_emergency,audio_transcript,"Caller urgently says they are the user's son, that they hit someone else's car, and that the other driver will not involve insurance if cash is sent within the hour.",scam,medium,"Urgency and avoiding official channels are the key risk indicators.",en,true
hc-009,ai_voice_clone_family_emergency,audio_transcript,"Voicemail claims to be from a niece crying about being stranded after a rideshare problem and asks for money to be sent to a roommate because her own account is locked.",scam,medium,"Plausible logistical story but asks for payment through an unrelated person.",en,true
hc-010,ai_voice_clone_family_emergency,audio_transcript,"Caller says: I know this sounds weird, but it is really me. Please do not tell Dad. I need emergency money today and I will explain later.",scam,hard,"Directly preempts doubt and uses secrecy, urgency, and family trust.",en,true
hc-011,ore_ore_sagi_family_impersonation,sms,"It's me. I changed phones and lost my contacts. I need help paying an invoice before the bank closes. Please reply here only.",scam,medium,"Classic changed-number impersonation with urgent payment request.",en,true
hc-012,ore_ore_sagi_family_impersonation,sms,"Dad, I dropped my phone and this temporary number is all I have. Can you send money to my friend's account? I will pay you back tonight.",scam,medium,"Temporary-number excuse plus third-party account is suspicious.",en,true
hc-013,ore_ore_sagi_family_impersonation,sms,"Hi Grandma, I am in trouble but do not want Mom to worry. A person here can settle it if you transfer the fee today.",scam,hard,"Targets a vulnerable relative and asks for secrecy.",en,true
hc-014,ore_ore_sagi_family_impersonation,sms,"I accidentally used the wrong company card at work. My manager is angry. Can you cover the amount for a few hours?",scam,medium,"Workplace embarrassment is used as emotional pressure.",en,true
hc-015,ore_ore_sagi_family_impersonation,sms,"This is your nephew. I cannot talk because I am in a meeting. Please buy two gift cards and send the codes so I can fix a problem.",scam,easy,"Gift-card code request is a strong scam indicator.",en,true
hc-016,ore_ore_sagi_family_impersonation,sms,"Auntie, my banking app locked me out after I changed phones. Can you send rent to my landlord from your account just this once?",scam,medium,"Changed-phone and locked-bank excuses support impersonation.",en,true
hc-017,ore_ore_sagi_family_impersonation,sms,"Hey, please save this new number. I need a favor but I am embarrassed to explain. Can you transfer a small amount now?",scam,hard,"Ambiguous but combines new number, secrecy, and money request.",en,true
hc-018,ore_ore_sagi_family_impersonation,sms,"It's your brother. I got stopped on the way to work and need to pay a fine online. I cannot call. Please help before it doubles.",scam,medium,"Fine urgency and refusal to call should trigger verification.",en,true
hc-019,ore_ore_sagi_family_impersonation,sms,"Mom, I am using a borrowed phone. My old number is dead. Please send money to the account I send next; I need it for repairs.",scam,medium,"Borrowed phone and forthcoming account switch are suspicious.",en,true
hc-020,ore_ore_sagi_family_impersonation,sms,"Please don't be mad. I made a mistake and need help today. If anyone asks, say it was for groceries.",scam,hard,"Manipulates shame and asks the recipient to lie about the payment.",en,true
hc-021,sextortion_blackmail,email,"I recorded you through your camera and copied your contacts. Send payment within two days or I will send the video to everyone you know.",scam,easy,"Threatens exposure and demands payment; no evidence needed.",en,true
hc-022,sextortion_blackmail,sms,"You know what you did online. I have screenshots and your friends list. Pay today and I delete everything.",scam,easy,"Generic intimidation and payment demand indicate sextortion.",en,true
hc-023,sextortion_blackmail,email,"Your private photos were saved from a chat backup. If you ignore this, they go to your workplace and family tomorrow morning.",scam,medium,"Uses reputational pressure and a short deadline.",en,true
hc-024,sextortion_blackmail,sms,"I made a video from your hacked device. Do not contact police. Reply PAID after sending the amount or the file gets released.",scam,easy,"Explicit blackmail with anti-law-enforcement instruction.",en,true
hc-025,sextortion_blackmail,email,"I installed monitoring software when you visited an adult site. I know your passwords and will publish the recording unless you pay.",scam,medium,"Common password/spyware sextortion script with payment pressure.",en,true
hc-026,sextortion_blackmail,social_dm,"I saved the images from our chat. If you block me, I will tag your classmates and relatives with them.",scam,hard,"Social blackmail without a direct payment yet, but threat pattern is clear.",en,true
hc-027,sextortion_blackmail,email,"This is your final warning. I can prove your browser history and camera footage. You have six hours to settle this quietly.",scam,medium,"Vague proof claim and urgency are core blackmail signals.",en,true
hc-028,sextortion_blackmail,sms,"Pay the penalty or the private clip gets sent to every contact in your phone. Deleting this message will not help.",scam,easy,"Threat plus false technical intimidation.",en,true
hc-029,sextortion_blackmail,social_dm,"I am underage and my cousin saw our messages. Send money for therapy or my family will report you.",scam,hard,"Coercive underage-claim scam intended to force panic payment.",en,true
hc-030,sextortion_blackmail,email,"I have the photo you sent and the list of people close to you. One transfer and this disappears forever.",scam,medium,"Blackmail framing with a promise of deletion after payment.",en,true
hc-031,romance_pig_butchering,chat,"I feel so lucky we met. My crypto mentor opened a short window for new members, and I want you to join before the rate changes tonight.",scam,hard,"Romance bonding leads into investment pressure.",en,true
hc-032,romance_pig_butchering,chat,"I cannot video call because of my contract overseas, but I trust you more than anyone. Let me show you the trading app that helped my family.",scam,medium,"Avoids verification while steering toward an investment platform.",en,true
hc-033,romance_pig_butchering,chat,"I would never ask if it was not serious. My business funds are frozen until Monday. Could you cover the customs fee so I can visit you?",scam,medium,"Romance future promise plus temporary financial obstacle.",en,true
